Ticker,Date,Price,Momentum_6m,Volatility_30d,Avg_Volume_30d,Treated,Match_ID
XEL,2018-05-09,35.6624641418457,-0.08959352347144645,0.009448547294909872,3241480.0,0,77
AON,2018-05-09,132.50416564941406,0.013077811690431318,0.008143769073660809,860583.3333333334,0,77
AAPL,2018-05-09,44.05709457397461,0.0800311142544563,0.01774831790497281,140088666.66666666,0,77
OXY,2018-05-09,68.67591857910156,0.22647724999010466,0.016284096224196305,5766676.666666667,0,77
XYL,2018-05-09,65.5432357788086,0.08284234925412237,0.015708179084803795,1179030.0,0,77
HCA,2018-05-09,93.52783966064453,0.2893507158442852,0.01301330602910389,2176376.6666666665,0,77
RSG,2018-05-09,60.26631546020508,0.06541801385556689,0.012915626054906154,1671930.0,0,77
VTRS,2018-05-09,30.015432357788086,0.0013635754502203667,0.021540935258118354,4352646.666666667,0,77
MS,2018-05-09,42.99127197265625,0.10626236212093998,0.015538915521778367,10189053.333333334,0,77
DTE,2021-07-01,97.37814331054688,0.10106284277337219,0.008529455830494519,1303512.6333333333,1,78
WTW,2021-07-01,218.12774658203125,0.1027887435661039,0.016542935564132857,1161990.0,0,78
HON,2021-07-01,189.4066619873047,0.046248956739433744,0.010620879989785543,2768025.1666666665,0,78
CTRA,2021-07-01,13.942192077636719,0.10936994665565458,0.026279824777733073,12440713.333333334,0,78
CPB,2021-07-01,39.11107635498047,-0.03994370420172477,0.014129248502559833,2776443.3333333335,0,78
MS,2021-07-01,79.1867904663086,0.3554079186303749,0.015482615204934401,9607990.0,0,78
RL,2021-07-01,107.55341339111328,0.1443273520651196,0.02068953001290082,1012130.0,0,78
INTC,2021-07-01,51.25556564331055,0.13803771369960072,0.011967485252831339,22898413.333333332,0,78
PANW,2021-07-01,61.78166580200195,0.04305128295292415,0.015680422399685683,6221260.0,0,78
CSGP,2021-07-01,83.25,-0.09929892742904645,0.014495587558732747,2486856.6666666665,0,78
EA,2021-07-01,138.72259521484375,-0.007759738636792801,0.012240793123751113,2025310.0,0,78
DD,2019-04-02,28.343191146850586,-0.15153707161885976,0.014596295955804717,21613967.866666667,1,79
INVH,2019-04-02,20.431442260742188,0.0855499006716105,0.008245949259297218,3923486.6666666665,0,79
MTB,2019-04-02,130.36859130859375,-0.006313819888363992,0.015878822457432603,859200.0,0,79
GPN,2019-04-02,132.5549774169922,0.09724757316195953,0.008363441596671718,1032550.0,0,79
